ID,exp_no,rep,dens,rearing_vessel,temp,food_level,treatment,feeding_interval,egg_sub,l_emerg,l_emerg_days_frm_sub,l_death,l_surv,pupal_ref,p_emerg,l_to_p_devtime,l_to_p_devrate,p_death,p_surv,a_emerg,p_to_a_devtime,p_to_a_devrate,a_death,adult_lifespan,adult_mort_rate,hatch_to_a_devtime,hatch_to_adult_devrate,sex,im_surv,j_lifetime,total_lifespan,length_mm
17,3,C,0.2,tub,22,1,22_1,24,29/03/2019 12:00,30/03/2019 12:00,1,NA,0,14,07/04/2019 12:00,9,0.111111111,NA,0,10/04/2019 12:00,3,0.333333333,21/04/2019 12:00,11,0.090909091,12,0.083333333,female,0,12,23,3.06
19,3,C,0.2,tub,22,1,22_1,24,29/03/2019 12:00,30/03/2019 12:00,1,NA,0,16,07/04/2019 12:00,9,0.111111111,NA,0,10/04/2019 12:00,3,0.333333333,17/04/2019 12:00,7,0.142857143,12,0.083333333,female,0,12,19,3.13
22,3,C,0.2,tub,22,1,22_1,24,29/03/2019 12:00,30/03/2019 12:00,1,NA,0,19,07/04/2019 12:00,9,0.111111111,NA,0,10/04/2019 12:00,3,0.333333333,21/04/2019 12:00,11,0.090909091,12,0.083333333,female,0,12,23,3.19
23,3,C,0.2,tub,22,1,22_1,24,29/03/2019 12:00,30/03/2019 12:00,1,NA,0,20,07/04/2019 12:00,9,0.111111111,NA,0,10/04/2019 12:00,3,0.333333333,21/04/2019 12:00,11,0.090909091,12,0.083333333,female,0,12,23,3.21
24,3,C,0.2,tub,22,1,22_1,24,29/03/2019 12:00,30/03/2019 12:00,1,NA,0,21,07/04/2019 12:00,9,0.111111111,NA,0,10/04/2019 12:00,3,0.333333333,20/04/2019 12:00,10,0.1,12,0.083333333,female,0,12,22,3.02
25,3,C,0.2,tub,22,1,22_1,24,29/03/2019 12:00,30/03/2019 12:00,1,NA,0,22,07/04/2019 12:00,9,0.111111111,NA,0,10/04/2019 12:00,3,0.333333333,20/04/2019 12:00,10,0.1,12,0.083333333,female,0,12,22,3.08
29,3,C,0.2,tub,22,1,22_1,24,29/03/2019 12:00,30/03/2019 12:00,1,NA,0,25,08/04/2019 12:00,10,0.1,NA,0,11/04/2019 12:00,3,0.333333333,21/04/2019 12:00,10,0.1,13,0.076923077,female,0,13,23,3.27
7,3,A,0.2,tub,26,0.1,26_0.1,24,30/03/2019 12:00,31/03/2019 12:00,1,NA,0,1,17/04/2019 12:00,18,0.055555556,NA,0,20/04/2019 12:00,3,0.333333333,26/04/2019 12:00,6,0.166666667,21,0.047619048,female,0,21,27,2.07
8,3,A,0.2,tub,26,0.1,26_0.1,24,30/03/2019 12:00,31/03/2019 12:00,1,NA,0,2,19/04/2019 12:00,20,0.05,NA,0,22/04/2019 12:00,3,0.333333333,01/05/2019 12:00,9,0.111111111,23,0.043478261,female,0,23,32,2.3
15,3,A,0.2,tub,26,0.1,26_0.1,24,30/03/2019 12:00,31/03/2019 12:00,1,NA,0,4,24/04/2019 12:00,25,0.04,NA,0,27/04/2019 12:00,3,0.333333333,04/05/2019 12:00,7,0.142857143,28,0.035714286,female,0,28,35,2.67
13,3,A,0.2,tub,26,1,26_1,24,29/03/2019 12:00,30/03/2019 12:00,1,NA,0,9,04/04/2019 12:00,6,0.166666667,NA,0,06/04/2019 12:00,2,0.5,12/04/2019 12:00,6,0.166666667,8,0.125,female,0,8,14,NA
16,3,A,0.2,tub,26,0.1,26_0.1,24,30/03/2019 12:00,31/03/2019 12:00,1,NA,0,5,26/04/2019 12:00,27,0.037037037,NA,0,28/04/2019 12:00,2,0.5,02/05/2019 12:00,4,0.25,29,0.034482759,female,0,29,33,2.41
17,3,A,0.2,tub,26,0.1,26_0.1,24,30/03/2019 12:00,31/03/2019 12:00,1,NA,0,6,27/04/2019 12:00,28,0.035714286,NA,0,29/04/2019 12:00,2,0.5,02/05/2019 12:00,3,0.333333333,30,0.033333333,female,0,30,33,2.4
26,3,A,0.2,tub,26,0.1,26_0.1,24,30/03/2019 12:00,31/03/2019 12:00,1,NA,0,8,30/04/2019 12:00,31,0.032258065,NA,0,02/05/2019 12:00,2,0.5,07/05/2019 12:00,5,0.2,33,0.03030303,female,0,33,38,2.48
27,3,A,0.2,tub,26,0.1,26_0.1,24,30/03/2019 12:00,31/03/2019 12:00,1,NA,0,9,01/05/2019 12:00,32,0.03125,NA,0,04/05/2019 12:00,3,0.333333333,11/05/2019 12:00,7,0.142857143,35,0.028571429,female,0,35,42,2.66
23,3,A,0.2,tub,26,0.1,26_0.1,24,30/03/2019 12:00,31/03/2019 12:00,1,NA,0,10,30/04/2019 12:00,31,0.032258065,NA,0,02/05/2019 12:00,2,0.5,06/05/2019 12:00,4,0.25,33,0.03030303,female,0,33,37,2.36
14,3,A,0.2,tub,26,0.1,26_0.1,24,30/03/2019 12:00,31/03/2019 12:00,1,NA,0,11,25/04/2019 12:00,26,0.038461538,NA,0,27/04/2019 12:00,2,0.5,02/05/2019 12:00,5,0.2,28,0.035714286,female,0,28,33,2.29
29,3,A,0.2,tub,26,0.1,26_0.1,24,30/03/2019 12:00,31/03/2019 12:00,1,NA,0,12,30/04/2019 12:00,31,0.032258065,NA,0,02/05/2019 12:00,2,0.5,06/05/2019 12:00,4,0.25,33,0.03030303,female,0,33,37,2.24
12,3,B,0.2,tub,26,0.1,26_0.1,24,30/03/2019 12:00,31/03/2019 12:00,1,NA,0,1,18/04/2019 12:00,19,0.052631579,NA,0,20/04/2019 12:00,2,0.5,28/04/2019 12:00,8,0.125,21,0.047619048,female,0,21,29,2.45
13,3,B,0.2,tub,26,0.1,26_0.1,24,30/03/2019 12:00,31/03/2019 12:00,1,NA,0,2,22/04/2019 12:00,23,0.043478261,NA,0,24/04/2019 12:00,2,0.5,02/05/2019 12:00,8,0.125,25,0.04,female,0,25,33,2.62
17,3,B,0.2,tub,26,0.1,26_0.1,24,30/03/2019 12:00,31/03/2019 12:00,1,NA,0,4,24/04/2019 12:00,25,0.04,NA,0,26/04/2019 12:00,2,0.5,02/05/2019 12:00,6,0.166666667,27,0.037037037,female,0,27,33,2.73
18,3,B,0.2,tub,26,0.1,26_0.1,24,30/03/2019 12:00,31/03/2019 12:00,1,NA,0,6,25/04/2019 12:00,26,0.038461538,NA,0,27/04/2019 12:00,2,0.5,02/05/2019 12:00,5,0.2,28,0.035714286,female,0,28,33,2.6
19,3,B,0.2,tub,26,0.1,26_0.1,24,30/03/2019 12:00,31/03/2019 12:00,1,NA,0,7,26/04/2019 12:00,27,0.037037037,NA,0,29/04/2019 12:00,3,0.333333333,02/05/2019 12:00,3,0.333333333,30,0.033333333,female,0,30,33,2.3
20,3,B,0.2,tub,26,0.1,26_0.1,24,30/03/2019 12:00,31/03/2019 12:00,1,NA,0,9,26/04/2019 12:00,27,0.037037037,NA,0,28/04/2019 12:00,2,0.5,02/05/2019 12:00,4,0.25,29,0.034482759,female,0,29,33,2.41
22,3,B,0.2,tub,26,0.1,26_0.1,24,30/03/2019 12:00,31/03/2019 12:00,1,NA,0,11,26/04/2019 12:00,27,0.037037037,NA,0,28/04/2019 12:00,2,0.5,01/05/2019 12:00,3,0.333333333,29,0.034482759,female,0,29,32,2.35
24,3,B,0.2,tub,26,0.1,26_0.1,24,30/03/2019 12:00,31/03/2019 12:00,1,NA,0,12,27/04/2019 12:00,28,0.035714286,NA,0,29/04/2019 12:00,2,0.5,03/05/2019 12:00,4,0.25,30,0.033333333,female,0,30,34,2.26
5,3,B,0.2,tub,26,0.1,26_0.1,24,30/03/2019 12:00,31/03/2019 12:00,1,NA,0,13,24/04/2019 12:00,25,0.04,NA,0,26/04/2019 12:00,2,0.5,30/04/2019 12:00,4,0.25,27,0.037037037,female,0,27,31,2.36
3,3,C,0.2,tub,26,0.1,26_0.1,24,30/03/2019 12:00,31/03/2019 12:00,1,NA,0,2,19/04/2019 12:00,20,0.05,NA,0,21/04/2019 12:00,2,0.5,26/04/2019 12:00,5,0.2,22,0.045454545,female,0,22,27,2.03
4,3,C,0.2,tub,26,0.1,26_0.1,24,30/03/2019 12:00,31/03/2019 12:00,1,NA,0,3,20/04/2019 12:00,21,0.047619048,NA,0,22/04/2019 12:00,2,0.5,29/04/2019 12:00,7,0.142857143,23,0.043478261,female,0,23,30,2.54
9,3,C,0.2,tub,26,0.1,26_0.1,24,30/03/2019 12:00,31/03/2019 12:00,1,NA,0,4,24/04/2019 12:00,25,0.04,NA,0,26/04/2019 12:00,2,0.5,01/05/2019 12:00,5,0.2,27,0.037037037,female,0,27,32,2.51
12,3,C,0.2,tub,26,0.1,26_0.1,24,30/03/2019 12:00,31/03/2019 12:00,1,NA,0,6,25/04/2019 12:00,26,0.038461538,NA,0,27/04/2019 12:00,2,0.5,05/05/2019 12:00,8,0.125,28,0.035714286,female,0,28,36,2.77
30,3,C,0.2,tub,26,0.1,26_0.1,24,30/03/2019 12:00,31/03/2019 12:00,1,NA,0,8,26/04/2019 12:00,27,0.037037037,NA,0,28/04/2019 12:00,2,0.5,05/05/2019 12:00,7,0.142857143,29,0.034482759,female,0,29,36,2.62
